"text";"label";"test_name"
"Можно ли чистить зубы перед сдачей?";"общий_вопрос";"общий анализ крови"
"А вода с лимоном разрешена утром?";"общий_вопрос";"общий анализ крови"
"Если я выпью кофе, это сильно изменит результат?";"общий_вопрос";"общий анализ крови"
"Нужно ли отменять витамины перед анализом?";"общий_вопрос";"общий анализ крови"
"Влияет ли физическая нагрузка на лейкоциты?";"общий_вопрос";"общий анализ крови"
"Сколько нельзя есть перед общим анализом крови?";"общий_вопрос";"общий анализ крови"
"А завтрак за 2 часа до – это сильно навредит?";"общий_вопрос";"общий анализ крови"
"Можно ли пить сок утром или лучше воду?";"общий_вопрос";"общий анализ крови"
"А если я выпил чай, это считается нарушением?";"общий_вопрос";"общий анализ крови"
"Нужно ли сообщать врачу о всех таблетках?";"общий_вопрос";"общий анализ крови"
"Влияет ли алкоголь, выпитый 2 дня назад?";"общий_вопрос";"общий анализ крови"
"Как долго нельзя курить перед анализом?";"общий_вопрос";"общий анализ крови"
"У меня болит голова, можно ли сдавать общий анализ?";"жалоба_на_самочувствие";"общий анализ крови"
"Сильная слабость и тошнота, анализ не отменят?";"жалоба_на_самочувствие";"общий анализ крови"
"У меня поднялась температура, а я сдаю ОАК сегодня";"жалоба_на_самочувствие";"общий анализ крови"
"Кружится голова с утра, наверное от голода";"жалоба_на_самочувствие";"общий анализ крови"
"Очень болит живот, сдавать анализ будет безопасно?";"жалоба_на_самочувствие";"общий анализ крови"
"Мне плохо, слабость, можно ли перенести сдачу?";"жалоба_на_самочувствие";"общий анализ крови"
"У меня давление поднялось, анализ не отменится?";"жалоба_на_самочувствие";"общий анализ крови"
"Тошнит от голода, это нормально?";"жалоба_на_самочувствие";"общий анализ крови"
"Очень устал, плохо спал, повлияет на анализ?";"жалоба_на_самочувствие";"общий анализ крови"
"Сильная тянущая боль в мышцах, может, отменить?";"жалоба_на_самочувствие";"общий анализ крови"
"Боюсь уколов, мне страшно, можно сдавать?";"жалоба_на_самочувствие";"общий анализ крови"
"У меня насморк и температура, анализ сдам, но как?";"жалоба_на_самочувствие";"общий анализ крови"
"Сильная изжога, это может повлиять на результат?";"жалоба_на_самочувствие";"общий анализ крови"
"Головокружение и слабость – можно ли сдавать?";"жалоба_на_самочувствие";"общий анализ крови"
"Болит горло, пью антибиотик, уже начал";"жалоба_на_самочувствие";"общий анализ крови"
"Понос утром, это опасно для сдачи анализов?";"жалоба_на_самочувствие";"общий анализ крови"
"Трясёт от холода, не голод, странно";"жалоба_на_самочувствие";"общий анализ крови"
"Сильный стресс накануне, будет ли погрешность?";"жалоба_на_самочувствие";"общий анализ крови"
"У меня герпес вылез, анализ можно сдавать?";"жалоба_на_самочувствие";"общий анализ крови"
"Бессонница всю ночь, скажется на лейкоцитах?";"жалоба_на_самочувствие";"общий анализ крови"
