"text";"label"
"Можно ли, если я принимал диклофенак для суставов?";"прием_лекарств"
"Выпил смузи";"нарушение_диеты"
"Принимал пикамилон вчера вечером";"прием_лекарств"
"Принимал преднизолон, это нормально?";"прием_лекарств"
"Можно ли, если я съел кекс?";"нарушение_диеты"
"Принимал противогрибковое вчера вечером";"прием_лекарств"
"Можно ли, если я выпил жаропонижающее утром?";"прием_лекарств"
"Извините, я съел творог";"нарушение_диеты"
"Извините, я съел сырник";"нарушение_диеты"
"Ой, я пил молочный коктейль с печеньем, это плохо?";"нарушение_диеты"
"Съел мороженое за час до сдачи";"нарушение_диеты"
"Принимал обезболивающее на ночь утром";"прием_лекарств"
"Выпил колу утром";"нарушение_диеты"
"Я нарушил диету: съел хлеб с маслом и сыром";"нарушение_диеты"
"Пил тёплое молоко (я пациент)";"нарушение_диеты"
"Выпил лоратадин вчера вечером";"прием_лекарств"
"Случайно выпил принимал кардиомагнил";"прием_лекарств"
"Можно ли, если я съел орешки?";"нарушение_диеты"
"Выпил спазмоветрин накануне";"прием_лекарств"
"Я ел пирожок";"нарушение_диеты"
"Пил тёплое молоко натощак";"нарушение_диеты"
"Я  пасту на ужин";"нарушение_диеты"
"Принимаю пью оральные контрацептивы постоянно";"прием_лекарств"
"Извините, я выпил жаропонижающее утром";"прием_лекарств"
"Принимал фуросемид вчера вечером";"прием_лекарств"
"Случайно съел бургер";"нарушение_диеты"
"Доктор, я принимал антибиотики вчера, это не повлияет?";"прием_лекарств"
"Случайно ел овсяную кашу с сахаром";"нарушение_диеты"
"Можно ли, если я пил сок прямого отжима?";"нарушение_диеты"
"Можно ли, если я принимал аспирин кардио?";"прием_лекарств"
"Можно ли, если я выпил американо?";"нарушение_диеты"
"Съел печенье натощак";"нарушение_диеты"
"Случайно пил бабл чай";"нарушение_диеты"
"Принимаю пил парацетамол от температуры постоянно";"прием_лекарств"
"Ел шоколадку натощак (я пациент)";"нарушение_диеты"
"Пью иммуномодуляторы накануне";"прием_лекарств"
"Я нарушил диету: ел салат из свеклы";"нарушение_диеты"
"Пью лекарства для щитовидной железы, это нормально?";"прием_лекарств"
"Можно ли, если я пью карнитин?";"прием_лекарств"
"Принимаю выпил но-шпу постоянно";"прием_лекарств"
"Ел салат из свеклы перед анализом";"нарушение_диеты"
"Доктор, я принимал глюкозамин, это не повлияет?";"прием_лекарств"
"Ел гречку с маслом за час до сдачи";"нарушение_диеты"
"Пил молочный коктейль перед анализом";"нарушение_диеты"
"Пью иммуномодуляторы утром";"прием_лекарств"
"Можно ли, если я пью противодиабетические средства?";"прием_лекарств"
"Принимал альмагель вчера";"прием_лекарств"
"Выпил лоперамид вчера вечером";"прием_лекарств"
"Выпил латте (я пациент)";"нарушение_диеты"
"Доктор, я выпил экстракт валерианы, это не повлияет?";"прием_лекарств"
"Пью тироксин утром";"прием_лекарств"
"Извините, я принимал седативные";"прием_лекарств"
"Можно ли, если я ел манную кашу?";"нарушение_диеты"
"Ел суп на завтрак утром";"нарушение_диеты"
"Принимал омез";"прием_лекарств"
"Ой, я ел гречку с маслом, это плохо?";"нарушение_диеты"
"Извините, я позавтракал перед походом в лабораторию";"нарушение_диеты"
"Пил бабл чай";"нарушение_диеты"
"Съел печенье утром";"нарушение_диеты"
"Я нарушил диету: выпил сокосодержащий напиток";"нарушение_диеты"
"Можно ли, если я выпил лоратадин?";"прием_лекарств"
"Пил чай с молоком и сахаром (я пациент)";"нарушение_диеты"
"Можно ли, если я выпил цинк?";"прием_лекарств"
"Я принимал принимал аспирин кардио";"прием_лекарств"
"Пил матча латте, это нормально?";"нарушение_диеты"
"Пью слабительное накануне";"прием_лекарств"
"Пил компот (я пациент)";"нарушение_диеты"
"Выпил дротаверин утром";"прием_лекарств"
"Выпил но-шпу накануне";"прием_лекарств"
"Доктор, я пью адаптол, это не повлияет?";"прием_лекарств"
"Извините, я ел жареную картошку";"нарушение_диеты"
"Выпил таблетку от мигрени, это нормально?";"прием_лекарств"
"Принимал диклофенак для суставов, это нормально?";"прием_лекарств"
"Можно ли, если я пил парацетамол от температуры?";"прием_лекарств"
"Принимал нурофен вчера вечером";"прием_лекарств"
"Я принимал выпил таблетку от тошноты";"прием_лекарств"
"Извините, я выпил таблетку от аллергии";"прием_лекарств"
"Принимал омез, это нормально?";"прием_лекарств"
"Извините, я выпил гранатовый сок";"нарушение_диеты"
"Можно ли, если я пью антибиотик ципрофлоксацин?";"прием_лекарств"
"Употребил алкоголь накануне утром";"нарушение_диеты"
"Принимал кеторол";"прием_лекарств"
"Извините, я выпил колу";"нарушение_диеты"
"Я л компот из вишни";"нарушение_диеты"
"Ой, я ел фрукты, думая что можно, это плохо?";"нарушение_диеты"
"Съел сэндвич за час до сдачи";"нарушение_диеты"
"Принимал кеторол вчера вечером";"прием_лекарств"
"Выпил американо утром";"нарушение_диеты"
"Принимал циклоферон вчера вечером";"прием_лекарств"
"Съел бутерброд за час до сдачи";"нарушение_диеты"
"Я принимал принимал антикоагулянты";"прием_лекарств"
"Можно ли, если я выпил спрайт?";"нарушение_диеты"
"Извините, я принимал кеторол";"прием_лекарств"
"Пью противодиабетические средства";"прием_лекарств"
"Пью сердечный препарат";"прием_лекарств"
"Пил морс перед анализом";"нарушение_диеты"
"Пью таблетки от простатита перед анализом";"прием_лекарств"
"Извините, я ел жареную картошку";"нарушение_диеты"
"Выпил успокоительное на ночь перед анализом";"прием_лекарств"
"Пью антидепрессант сертралин перед анализом";"прием_лекарств"
"Принимаю принимал антигистаминные вчера постоянно";"прием_лекарств"
"Выпил лекарство от кашля, это нормально?";"прием_лекарств"
"Съел булочку натощак";"нарушение_диеты"
"Пил ромашковый чай с сахаром перед анализом";"нарушение_диеты"
"Принимал магний B6 утром";"прием_лекарств"
"Пью антидепрессанты ежедневно";"прием_лекарств"
"Я принимал пью таблетки от простатита";"прием_лекарств"
"Ой, я выпил ряженку, это плохо?";"нарушение_диеты"
"Ой, я съел орешки, это плохо?";"нарушение_диеты"
"Я нарушил диету: пил компот из вишни";"нарушение_диеты"
"Принимаю выпил дротаверин постоянно";"прием_лекарств"
"Принимал альмагель вчера накануне";"прием_лекарств"
"Пил латте с сиропом натощак";"нарушение_диеты"
"Пил травяной чай с мёдом за час до сдачи";"нарушение_диеты"
"Можно ли, если я принимал фенибут?";"прием_лекарств"
"Выпил лоратадин";"прием_лекарств"
"Я нарушил диету: ел омлет";"нарушение_диеты"
"Извините, я выпил отхаркивающее";"прием_лекарств"
"Доктор, я принимал нейролептики, это не повлияет?";"прием_лекарств"
"Ой, я пил морс, это плохо?";"нарушение_диеты"
"Случайно съел пирожок";"нарушение_диеты"
"Пью канефрон";"прием_лекарств"
"Случайно выпил выпил тантум верде";"прием_лекарств"
"Можно ли, если я выпил гранатовый сок?";"нарушение_диеты"
"Выпил какао натощак";"нарушение_диеты"
"Я принимал принимал фуросемид";"прием_лекарств"
"Извините, я выпил энтеросгель";"прием_лекарств"
"Принимаю выпил отхаркивающее постоянно";"прием_лекарств"
"Я нарушил диету: пил чай с сахаром утром";"нарушение_диеты"
"Съел сушку с маком утром";"нарушение_диеты"
"Я принимал принимал метформин";"прием_лекарств"
"Можно ли, если я принимал фенибут?";"прием_лекарств"
"Я нарушил диету: ел кускус";"нарушение_диеты"
"Можно ли, если я принимал нейролептики?";"прием_лекарств"
"Съел вафлю с шоколадом, это нормально?";"нарушение_диеты"
"Доктор, я принимал пикамилон, это не повлияет?";"прием_лекарств"
"Выпил каптоприл перед анализом";"прием_лекарств"
"Пил чай с молоком и сахаром перед анализом";"нарушение_диеты"
"Съел коржик";"нарушение_диеты"
"Пью омега-3 утром";"прием_лекарств"
"Выпил феназепам, это нормально?";"прием_лекарств"
"Ой, я пил ягодный смузи, это плохо?";"нарушение_диеты"
"Пью препараты от эпилепсии перед анализом";"прием_лекарств"
"Извините, я ел блинчики с мясом";"нарушение_диеты"
"Ой, я ел хлопья с молоком, это плохо?";"нарушение_диеты"
"Можно ли, если я принимал нурофен?";"прием_лекарств"
"Съел бутерброд с колбасой за час до сдачи";"нарушение_диеты"
"Доктор, я принимал омез, это не повлияет?";"прием_лекарств"
"Ой, я ел драники, это плохо?";"нарушение_диеты"
"Съел пирожок перед анализом";"нарушение_диеты"
"Съел банан натощак";"нарушение_диеты"
"Ой, я плотно поужинал поздно ночью, это плохо?";"нарушение_диеты"
"Съел сэндвич (я пациент)";"нарушение_диеты"
"Съел чизкейк перед анализом";"нарушение_диеты"
"Случайно ел шоколадку натощак";"нарушение_диеты"
"Можно ли, если я принимал противогрибковое?";"прием_лекарств"
"Пью иммуномодуляторы перед анализом";"прием_лекарств"
"Пью карнитин вчера вечером";"прием_лекарств"
"Выпил свечи с папаверином, это нормально?";"прием_лекарств"
"Случайно выпил колу";"нарушение_диеты"
"Выпил кальций Д3 накануне";"прием_лекарств"
"Съел яблоко за час до анализа перед анализом";"нарушение_диеты"
"Пью противовоспалительное утром";"прием_лекарств"
"Выпил айран";"нарушение_диеты"
"Съел блин со сгущёнкой перед анализом";"нарушение_диеты"
"Выпил энергетик утром";"нарушение_диеты"
"Ой, я выпил какао, это плохо?";"нарушение_диеты"
"Принимал аспирин кардио накануне";"прием_лекарств"
"Случайно выпил пью клоназепам";"прием_лекарств"
"Случайно выпил принимал кеторол";"прием_лекарств"
"Пью гипотензивные, это нормально?";"прием_лекарств"
"Я л кофе с молоком";"нарушение_диеты"
"Принимал сорбенты перед анализом";"прием_лекарств"
"Я принимал принимал миорелаксант";"прием_лекарств"
"Пил зелёный чай с сахаром (я пациент)";"нарушение_диеты"
"Случайно пил морс";"нарушение_диеты"
"Я нарушил диету: употребил алкоголь накануне";"нарушение_диеты"
"Можно ли, если я пью гипотензивные?";"прием_лекарств"
"Можно ли, если я пил компот?";"нарушение_диеты"
"Случайно выпил выпил каптоприл";"прием_лекарств"
"Случайно выпил выпил супрастин";"прием_лекарств"
"Случайно выпил пью антиретровирусные";"прием_лекарств"
"Извините, я выпил жаропонижающее утром";"прием_лекарств"
"Принимал миорелаксант, это нормально?";"прием_лекарств"
"Можно ли, если я пил кофе без сахара, но всё равно?";"нарушение_диеты"
"Можно ли, если я принимал седативные?";"прием_лекарств"
"Ой, я пил ягодный смузи, это плохо?";"нарушение_диеты"
"Принимаю принимал антикоагулянты постоянно";"прием_лекарств"
"Случайно выпил пью мильгамму";"прием_лекарств"
"Я нарушил диету: ел гречку с маслом";"нарушение_диеты"
"Можно ли, если я съел плюшку?";"нарушение_диеты"
"Пью противодиабетические средства вчера вечером";"прием_лекарств"
"Ел салат из свеклы натощак";"нарушение_диеты"
"Я принимал пью клоназепам";"прием_лекарств"
"Доктор, я принимал миорелаксант, это не повлияет?";"прием_лекарств"
"Можно ли, если я съел хлеб с маслом и сыром?";"нарушение_диеты"
"Съел сушку с маком (я пациент)";"нарушение_диеты"
"Пью контрацептивы накануне";"прием_лекарств"
"Съел кекс натощак";"нарушение_диеты"
"Извините, я пил газировку";"нарушение_диеты"
"Ой, я ел салат из свеклы, это плохо?";"нарушение_диеты"
"Пью антидепрессанты ежедневно, это нормально?";"прием_лекарств"
"Я нарушил диету: съел хлеб с маслом и сыром";"нарушение_диеты"
"Пил сок прямого отжима (я пациент)";"нарушение_диеты"
"Пью антибиотик ципрофлоксацин, это нормально?";"прием_лекарств"
"Случайно ел кабачковую икру";"нарушение_диеты"
"Случайно съел коржик";"нарушение_диеты"
"Доктор, я выпил отхаркивающее, это не повлияет?";"прием_лекарств"
"Съел бутерброд с колбасой утром";"нарушение_диеты"
"Извините, я выпил коэнзим q10";"прием_лекарств"
"Извините, я пил чай с молоком и сахаром";"нарушение_диеты"
"Я принимал выпил цинк";"прием_лекарств"
"Я нарушил диету: ел блинчики с мясом";"нарушение_диеты"
"Выпил спрайт и съел чипсы за час до сдачи";"нарушение_диеты"
"Случайно употребил алкоголь накануне";"нарушение_диеты"
"Съел яблоко за час до анализа, это нормально?";"нарушение_диеты"
"Выпил какао с зефиром утром";"нарушение_диеты"
"Пил кофе без сахара, но всё равно, это нормально?";"нарушение_диеты"
"Пил морс натощак";"нарушение_диеты"
"Можно ли, если я выпил таблетку от аллергии?";"прием_лекарств"
"Пил морс перед анализом";"нарушение_диеты"
"Выпил свечи с папаверином";"прием_лекарств"
"Я нарушил диету: пил томатный сок";"нарушение_диеты"
"Пил ромашковый чай с сахаром (я пациент)";"нарушение_диеты"
"Выпил таблетку от мигрени вчера вечером";"прием_лекарств"
"Случайно выпил выпил спазмалгон";"прием_лекарств"
"Можно ли, если я ел творожную запеканку?";"нарушение_диеты"
"Выпил таблетку от аллергии вчера вечером";"прием_лекарств"
"Извините, я пью слабительное";"прием_лекарств"
"Выпил гранатовый сок, это нормально?";"нарушение_диеты"
"Извините, я съел сырник";"нарушение_диеты"
"Пью антидепрессанты ежедневно вчера вечером";"прием_лекарств"
"Я нарушил диету: пил тёплое молоко";"нарушение_диеты"
"Я принимал пью витамин d ежедневно";"прием_лекарств"
"Можно ли, если я принимал противогрибковое?";"прием_лекарств"
"Извините, я выпил таблетку от аллергии";"прием_лекарств"
"Перекусил печеньем (я пациент)";"нарушение_диеты"
"Пью мильгамму накануне";"прием_лекарств"
"Съел вафлю с шоколадом натощак";"нарушение_диеты"
"Съел творог";"нарушение_диеты"
"Выпил супрадин утром";"прием_лекарств"
"Съел бургер утром";"нарушение_диеты"
"Принимал фуросемид утром";"прием_лекарств"
"Пил газировку, это нормально?";"нарушение_диеты"
"Пил кофе с молоком";"нарушение_диеты"
"Случайно пил молоко перед анализом";"нарушение_диеты"
"Съел кекс (я пациент)";"нарушение_диеты"
"Выпил мексидол, это нормально?";"прием_лекарств"
"Пью канефрон утром";"прием_лекарств"
"Доктор, я принимал кеторол, это не повлияет?";"прием_лекарств"
"Ой, я ел рис с рыбой, это плохо?";"нарушение_диеты"
"Извините, я пил сок прямого отжима";"нарушение_диеты"
"Ой, я ел чипсы, это плохо?";"нарушение_диеты"
"Выпил таблетку от тошноты вчера вечером";"прием_лекарств"
"Пью статины постоянно накануне";"прием_лекарств"
"Можно ли, если я выпил тоник?";"нарушение_диеты"
"Я нарушил диету: ел салат оливье на ночь";"нарушение_диеты"
"Выпил таблетку от тошноты накануне";"прием_лекарств"
"Выпил феназепам перед анализом";"прием_лекарств"
"Выпил мексидол";"прием_лекарств"
"Пил антацид от изжоги перед анализом";"прием_лекарств"
"Ел омлет утром";"нарушение_диеты"
"Принимал метформин перед анализом";"прием_лекарств"
"Выпил ренни, это нормально?";"прием_лекарств"
"Ел драники натощак";"нарушение_диеты"
"Я нарушил диету: выпил гранатовый сок";"нарушение_диеты"
"Выпил айран (я пациент)";"нарушение_диеты"
"Ой, я выпил капучино, это плохо?";"нарушение_диеты"
"Можно ли, если я ел пиццу накануне?";"нарушение_диеты"
"Пью гормональные таблетки накануне";"прием_лекарств"
"Съел булочку утром";"нарушение_диеты"
"Принимал нейролептики утром";"прием_лекарств"
"Можно ли, если я выпил тархун?";"нарушение_диеты"
"Принимал омепразол утром утром";"прием_лекарств"
"Случайно выпил принимал нейролептики";"прием_лекарств"
"Принимал фуросемид перед анализом";"прием_лекарств"
"Извините, я ел творожную запеканку";"нарушение_диеты"
"Можно ли, если я ел драники?";"нарушение_диеты"
"Выпил отхаркивающее, это нормально?";"прием_лекарств"
"Пил молоко перед анализом, это нормально?";"нарушение_диеты"
"Я л ромашковый чай с сахаром";"нарушение_диеты"
"Пью препараты железа";"прием_лекарств"
"Съел бутерброд (я пациент)";"нарушение_диеты"
"Я принимал пью препараты от эпилепсии";"прием_лекарств"
"Ой, я ел хлопья с молоком, это плохо?";"нарушение_диеты"
"Ой, я пил зелёный чай с сахаром, это плохо?";"нарушение_диеты"
"Пью канефрон";"прием_лекарств"
"Выпил аспирин накануне вчера вечером";"прием_лекарств"
"Съел панкейк с мёдом, это нормально?";"нарушение_диеты"
"Можно ли, если я принимал уролесан?";"прием_лекарств"
"Я ел сырник";"нарушение_диеты"
"Съел пирожок перед анализом";"нарушение_диеты"
"Принимаю пью тироксин постоянно";"прием_лекарств"
"Извините, я пью противоэпилептические";"прием_лекарств"
"Я принимал пью слабительное";"прием_лекарств"
"Случайно выпил смузи";"нарушение_диеты"
"Ел суп-пюре";"нарушение_диеты"
"Принимал антибиотики вчера, это нормально?";"прием_лекарств"
"Позавтракал перед походом в лабораторию перед анализом";"нарушение_диеты"
"Ел суп на завтрак натощак";"нарушение_диеты"
"Принимал глюкозамин";"прием_лекарств"
"Извините, я пил горячий шоколад";"нарушение_диеты"
"Я завтракал перед походом в лабораторию";"нарушение_диеты"
"Можно ли, если я выпил анальгин?";"прием_лекарств"
"Ой, я съел коржик, это плохо?";"нарушение_диеты"
"Выпил тоник, это нормально?";"нарушение_диеты"
"Случайно выпил принимал верошпирон";"прием_лекарств"
"Извините, я выпил но-шпу";"прием_лекарств"
"Можно ли, если я принимал омез?";"прием_лекарств"
"Извините, я принимал нурофен";"прием_лекарств"
"Доктор, я принимал аспирин кардио, это не повлияет?";"прием_лекарств"
"Выпил свечи с папаверином, это нормально?";"прием_лекарств"
"Извините, я съел банан";"нарушение_диеты"
"Ой, я ел хлопья с молоком, это плохо?";"нарушение_диеты"
"Я принимал пью сердечный препарат";"прием_лекарств"
"Я нарушил диету: выпил капучино";"нарушение_диеты"
"Ел суп-пюре (я пациент)";"нарушение_диеты"
"Съел вафлю с шоколадом (я пациент)";"нарушение_диеты"
"Случайно ел овсяную кашу с сахаром";"нарушение_диеты"
"Съел сырник натощак";"нарушение_диеты"
"Я ел плюшку";"нарушение_диеты"
"Можно ли, если я принимал обезболивающее на ночь?";"прием_лекарств"
"Пью противодиабетические средства утром";"прием_лекарств"
"Я нарушил диету: съел орешки";"нарушение_диеты"
"Я нарушил диету: пил ромашковый чай с сахаром";"нарушение_диеты"
"Ой, я съел творог, это плохо?";"нарушение_диеты"
"Я ел чизкейк";"нарушение_диеты"
"Съел чизкейк, это нормально?";"нарушение_диеты"
"Съел бургер, это нормально?";"нарушение_диеты"
"Ел мюсли с молоком";"нарушение_диеты"
"Я нарушил диету: я выпил кофе перед сдачей крови";"нарушение_диеты"
"Позавтракал кашей перед анализом";"нарушение_диеты"
"Я принимал принимал седативные";"прием_лекарств"
"Позавтракал перед походом в лабораторию натощак";"нарушение_диеты"
"Доктор, я принимал магний b6, это не повлияет?";"прием_лекарств"
"Пил кофе с молоком натощак";"нарушение_диеты"
"Пил компот утром";"нарушение_диеты"
"Принимал антикоагулянты утром";"прием_лекарств"
"Случайно ел пиццу накануне";"нарушение_диеты"
"Пил латте с сиропом натощак";"нарушение_диеты"
"Можно ли, если я съел коржик?";"нарушение_диеты"
"Пил каркаде натощак";"нарушение_диеты"
"Пил компот за час до сдачи";"нарушение_диеты"
"Можно ли, если я ел омлет?";"нарушение_диеты"
"Позавтракал кашей перед анализом";"нарушение_диеты"
"Я принимал принимал альмагель вчера";"прием_лекарств"
"Принимал метформин вчера вечером";"прием_лекарств"
"Принимаю выпил анальгин постоянно";"прием_лекарств"
"Плотно поужинал поздно ночью";"нарушение_диеты"
"Случайно съел панкейк с мёдом";"нарушение_диеты"
"Выпил лоратадин, это нормально?";"прием_лекарств"
"Пил горячий шоколад, это нормально?";"нарушение_диеты"
"Случайно съел вафлю с шоколадом";"нарушение_диеты"
"Доктор, я выпил каптоприл, это не повлияет?";"прием_лекарств"
"Я выпил кофе перед сдачей крови натощак";"нарушение_диеты"
"Пью антибиотик ципрофлоксацин";"прием_лекарств"
"Ел суп-пюре";"нарушение_диеты"
"Извините, я пил морс";"нарушение_диеты"
"Ой, я пил компот, это плохо?";"нарушение_диеты"
"Съел печенье утром";"нарушение_диеты"
"Ой, я выпил ряженку, это плохо?";"нарушение_диеты"
"Извините, я выпил кальций д3";"прием_лекарств"
"Принимал колдрекс, это нормально?";"прием_лекарств"
"Случайно ел омлет";"нарушение_диеты"
"Ел суп-пюре (я пациент)";"нарушение_диеты"
"Можно ли, если я выпил аспирин накануне?";"прием_лекарств"
"Случайно выпил выпил коэнзим q10";"прием_лекарств"
"Можно ли, если я пью препараты от эпилепсии?";"прием_лекарств"
"Выпил сок из пакета (я пациент)";"нарушение_диеты"
"Выпил лоратадин, это нормально?";"прием_лекарств"
"Съел чизкейк";"нарушение_диеты"
"Съел чизкейк, это нормально?";"нарушение_диеты"
"Я принимал принимал метформин";"прием_лекарств"
"Ел суп на завтрак перед анализом";"нарушение_диеты"
"Пью антидепрессанты ежедневно";"прием_лекарств"
"Принимал магний B6, это нормально?";"прием_лекарств"
"Принимал колдрекс, это нормально?";"прием_лекарств"
"Случайно съел сырник";"нарушение_диеты"
"Выпил спазмалгон вчера вечером";"прием_лекарств"
"Выпил таблетку от мигрени, это нормально?";"прием_лекарств"
"Выпил энергетик (я пациент)";"нарушение_диеты"
"Принимаю пью адаптол постоянно";"прием_лекарств"
"Принимаю пью лекарства для щитовидной железы постоянно";"прием_лекарств"
"Извините, я съел бургер";"нарушение_диеты"
"Выпил смузи утром";"нарушение_диеты"
"Можно ли, если я выпил лоперамид?";"прием_лекарств"
"Пил кофе без сахара, но всё равно, это нормально?";"нарушение_диеты"
"Принимал кеторол накануне";"прием_лекарств"
"Я  пасту на ужин";"нарушение_диеты"
"Выпил стакан апельсинового сока";"нарушение_диеты"
"Выпил стакан апельсинового сока за час до сдачи";"нарушение_диеты"
"Выпил таблетку от тошноты";"прием_лекарств"
"Принимал бифидобактерии накануне";"прием_лекарств"
"Случайно съел творог";"нарушение_диеты"
"Пью тироксин";"прием_лекарств"
"Ел пасту на ужин";"нарушение_диеты"
"Пил горячий шоколад натощак";"нарушение_диеты"
"Можно ли, если я съел яблоко за час до анализа?";"нарушение_диеты"
"Принимаю принимал магний b6 постоянно";"прием_лекарств"
"Ел фрукты, думая что можно";"нарушение_диеты"
"Ел омлет утром";"нарушение_диеты"
"Я принимал выпил таблетку от аллергии";"прием_лекарств"
"Ел салат из свеклы натощак";"нарушение_диеты"
"Ой, я ел фрукты, думая что можно, это плохо?";"нарушение_диеты"
"Извините, я ел кабачковую икру";"нарушение_диеты"
"Ел хлопья с молоком (я пациент)";"нарушение_диеты"
"Я принимал выпил ренни";"прием_лекарств"
